category,description,examples
GROCERIES,"Supermarkets, food shops, bakeries and everyday food retail","Mercadona, Carrefour, Lidl, panaderia"
DINING_OUT,"Restaurants, bars, cafes, takeaway and food delivery","restaurante, bar, cafeteria, Glovo"
TRANSPORT,"Public transport, taxis, ride-hailing, parking and tolls","metro, Renfe, taxi, Uber, parking, peaje"
FUEL,"Fuel at petrol stations and charging for electric vehicles","gasolinera, Repsol, Cepsa, recarga electrica"
UTILITIES,"Household utilities: electricity, gas, water, internet and mobile","Iberdrola, Naturgy, agua, fibra, movil"
HOUSING,"Rent, mortgage payments, community fees and home services","alquiler, hipoteca, comunidad, reforma"
HEALTH,"Medical care, pharmacy, dental and health services","farmacia, clinica, dentista, medico"
INSURANCE,"Insurance premiums of any kind","seguro coche, seguro hogar, seguro vida"
INCOME,"Salary, pensions, benefits and any money received","nomina, pension, prestacion, devolucion"
INTERNAL_TRANSFER,"Movements between the account holder's own accounts","transferencia cuenta propia, traspaso"
FEES_INTEREST,"Bank fees, commissions, interest charges and card fees","comision, cuota mantenimiento, intereses"
TAXES,"Taxes, levies and payments to public administrations","Hacienda, IRPF, IBI, Seguridad Social"
SHOPPING,"Retail goods: clothing, electronics, home goods and online shops","Zara, Amazon, Ikea, El Corte Ingles"
ENTERTAINMENT,"Leisure: cinema, concerts, streaming, games and events","cine, concierto, Netflix, Spotify, entradas"
TRAVEL,"Travel and accommodation: flights, trains, hotels and bookings","vuelo, hotel, Booking, AirBnB, Renfe"
EDUCATION,"Schools, universities, courses and training","matricula, curso, academia, universidad"
CASH,"ATM withdrawals and cash-related movements","cajero, reintegro, retirada efectivo"
SUBSCRIPTIONS,"Recurring memberships and subscription services","gimnasio, suscripcion, cuota mensual"
SAVINGS_INVESTMENT,"Savings, investments, funds and pension plans","fondo, inversion, plan de pensiones, PP"
PERSONAL_CARE,"Haircuts, cosmetics, hygiene and personal grooming","peluqueria, barberia, perfumeria"
CHILDCARE,"Childcare, school meals, activities and children's needs","guarderia, comedor escolar, extraescolar"
CHARITY,"Donations and contributions to non-profits","donacion, ONG, caritas"
GOVERNMENT,"Public administration fees, fines and official paperwork","multa, tasa, DGT, registro"
LOANS,"Repayments of consumer loans and credit","prestamo personal, credito, financiacion"
OTHER,"Fallback for payments that do not fit any category, or on parse errors",""
